Project Title,Project Type,Planned Budget ($),Actual Budget ($),Planned Schedule (Weeks),Actual Schedule (Weeks),Planned Scope (Story Points),Actual Scope (Story Points),Project Manager Title,Project Manager Skill Level,Leadership Support,Team Collaboration Level,Stakeholder Engagement,Work-Life Balance (hrs/week),Psychological Safety Score,Resource Availability,Turnover Rate (%),Development Methodology,DevOps Adoption,Automated Testing Coverage (%),CI/CD Pipeline Usage,Code Review Process,Technical Debt Level,Cloud-Based Development,Security Practices,Team Size,Average Experience Level,Senior to Junior(5),Expected Sprint Completion Rate (%),Task Completion Rate (%),Expected Velocity (Story Points per Sprint),Estimated Cycle Time (Days per Task),Defect Rate (Bugs per KLOC),Number of Dependencies Blocked,Project Info Score,Environment Score,Technical Score,Stability Score,Productivity Score,Resource Utilization Score,Risk Score,Total Score,Project Success
Project_1,Embedded System,303511,303423,21,19,250,251,Project Manager,1,Medium,3,Strong,50,4,Insufficient,9.98,Waterfall,Yes,75,Yes,Formal,High,Yes,Advanced,11,Mid,2,91,96,20,4,1.67,0,6.33,5.72,7.81,8.33,6.86,6.87,2.66,7.0,1
Project_2,AI/ML Project,275510,258346,29,33,361,361,Project Manager,1,Low,8,Strong,50,2,Insufficient,0.57,Kanban,Yes,63,Yes,Formal,Low,Yes,Intermediate,10,Junior,3,90,100,60,6,1.15,1,4.33,6.39,8.91,8.0,8.2,6.09,2.73,6.72,1
Project_3,Data Analytics,336268,334817,27,31,217,202,Project Manager,3,High,9,Strong,35,5,Insufficient,0.24,Agile,Yes,94,Yes,Formal,Low,Yes,Basic,17,Mid,3,85,98,60,4,2.83,0,6.26,8.13,9.3,8.0,7.81,7.13,3.28,7.48,1
Project_4,Web/Mobile App,290298,314109,20,24,152,139,Technical Lead,1,Low,5,Moderate,40,8,Limited,11.14,Scrum,Yes,73,Yes,Ad Hoc,Medium,Yes,Advanced,11,Junior,3,91,95,60,9,3.19,0,3.48,6.49,8.41,8.0,6.93,5.34,6.37,5.62,0
Project_5,Data Analytics,388679,402771,11,14,153,138,Technical Lead,2,Low,5,Strong,50,7,Adequate,1.99,Scrum,Yes,65,Yes,Ad Hoc,Low,Yes,Intermediate,20,Mid,3,90,80,50,8,4.03,1,5.02,7.43,8.56,8.0,6.08,6.2,4.6,6.58,1
Project_6,Data Analytics,397494,391764,32,32,253,270,Technical Lead,2,Low,5,Weak,35,7,Limited,1.9,Scrum,Yes,95,Yes,Formal,Low,Yes,Intermediate,20,Junior,1,84,84,30,5,3.54,0,8.97,6.44,9.56,5.33,6.05,8.68,3.1,7.83,1
Project_7,AI/ML Project,468336,454568,40,44,331,318,Scrum Master,5,Low,9,Moderate,35,3,Adequate,12.21,Agile,Yes,67,Yes,Ad Hoc,Low,Yes,Intermediate,13,Senior,0,96,93,50,7,1.93,1,6.0,6.56,8.59,6.67,7.16,6.35,4.74,6.48,1
Project_8,Business System,449314,461504,8,13,299,300,Scrum Master,3,Low,1,Moderate,40,5,Insufficient,6.47,Waterfall,Yes,85,Yes,Formal,Low,Yes,Basic,20,Senior,3,90,94,30,2,3.02,1,5.79,5.4,8.56,9.0,6.48,6.29,5.25,6.39,1
Project_9,AI/ML Project,440393,451491,38,38,203,197,Project Manager,1,Low,9,Weak,35,2,Limited,0.46,Waterfall,Yes,70,Yes,Formal,Medium,Yes,Advanced,3,Mid,0,96,99,50,6,0.86,3,8.36,6.4,8.38,4.67,7.36,8.33,1.97,7.63,1
Project_10,AI/ML Project,233383,228648,35,36,357,357,Project Manager,1,Low,10,Moderate,50,8,Adequate,7.81,Scrum,Yes,93,Yes,Ad Hoc,Low,Yes,Basic,20,Junior,3,99,82,20,6,2.14,3,7.73,7.44,8.66,7.0,5.16,7.58,3.97,7.38,1
Project_11,Data Analytics,464230,471362,13,13,495,511,Project Manager,3,Medium,7,Weak,35,5,Adequate,5.16,Scrum,Yes,78,Yes,Formal,Low,Yes,Basic,7,Mid,3,94,80,20,5,2.24,0,9.14,7.06,9.1,9.0,6.16,8.78,2.9,8.31,1
Project_12,Business System,109367,109437,19,18,186,169,Scrum Master,3,Medium,6,Strong,40,10,Limited,7.87,Agile,Yes,87,Yes,Ad Hoc,Medium,Yes,Advanced,8,Senior,3,90,88,60,5,3.41,0,7.73,8.01,8.59,10.0,7.47,8.15,2.99,8.09,1
Project_13,Business System,325073,346727,23,26,224,247,Project Manager,3,Medium,5,Weak,40,4,Limited,4.61,Agile,Yes,73,Yes,Formal,Low,Yes,Intermediate,7,Mid,1,84,86,20,7,3.31,3,4.6,6.38,9.29,7.33,4.33,5.2,7.88,5.5,0
Project_14,AI/ML Project,355584,343444,15,15,255,263,Scrum Master,3,Medium,6,Moderate,35,7,Limited,9.76,Agile,Yes,80,Yes,Ad Hoc,Low,Yes,Advanced,16,Junior,1,94,100,30,9,1.82,2,8.58,6.87,9.12,5.33,5.81,7.82,3.83,7.41,1
Project_15,Data Analytics,89858,103485,26,30,136,128,Project Manager,5,Low,2,Weak,35,6,Adequate,11.73,Kanban,Yes,87,Yes,Formal,High,Yes,Basic,14,Senior,1,97,82,20,2,4.31,2,3.82,5.59,7.71,7.33,5.65,4.63,7.33,4.99,0
Project_16,Embedded System,149349,171818,11,16,175,197,Project Manager,4,Low,10,Weak,50,6,Limited,12.86,Agile,Yes,69,Yes,Formal,Medium,Yes,Intermediate,4,Junior,3,89,96,30,8,1.03,0,3.8,5.94,8.61,6.0,6.93,4.48,7.24,5.02,0
Project_17,Data Analytics,342698,357991,37,36,251,274,Scrum Master,1,High,6,Strong,35,2,Insufficient,8.58,Waterfall,Yes,60,Yes,Formal,Medium,Yes,Basic,13,Mid,3,99,80,30,6,1.83,1,7.05,6.67,7.62,8.0,6.38,7.12,5.05,6.77,1
Project_18,AI/ML Project,227379,248882,30,33,444,461,Technical Lead,4,High,5,Moderate,35,6,Limited,12.57,Kanban,Yes,90,Yes,Formal,High,Yes,Intermediate,20,Junior,0,85,92,30,5,4.97,3,3.96,6.82,8.0,4.67,5.2,4.55,8.21,4.78,0
Project_19,Web/Mobile App,199037,204764,20,21,254,272,Technical Lead,2,Medium,1,Weak,35,2,Adequate,7.47,Waterfall,Yes,77,Yes,Formal,Low,Yes,Basic,20,Senior,2,92,85,50,6,4.56,0,7.04,5.61,8.46,8.33,6.87,7.65,5.41,6.83,1
Project_20,Business System,373462,397154,39,42,357,361,Technical Lead,5,Medium,1,Strong,50,10,Adequate,6.56,Waterfall,Yes,66,Yes,Ad Hoc,Medium,Yes,Advanced,7,Senior,2,83,96,50,4,2.26,0,5.79,7.39,7.7,9.33,7.65,6.7,4.87,6.77,1
Project_21,Embedded System,224541,249562,18,18,211,230,Project Manager,2,High,1,Moderate,35,9,Adequate,8.65,Kanban,Yes,94,Yes,Ad Hoc,Low,Yes,Intermediate,13,Junior,3,85,86,20,3,0.76,1,6.4,7.38,8.68,7.0,6.93,6.84,5.36,6.71,1
Project_22,Web/Mobile App,211644,193285,10,9,328,327,Technical Lead,5,Medium,8,Moderate,50,9,Limited,3.22,Scrum,Yes,76,Yes,Formal,Medium,Yes,Intermediate,19,Junior,2,95,81,20,3,1.46,1,4.39,7.63,8.7,6.33,6.62,5.11,1.68,6.68,1
Project_23,Embedded System,230917,230072,28,31,346,326,Scrum Master,2,High,4,Weak,40,1,Limited,7.51,Kanban,Yes,82,Yes,Formal,Medium,Yes,Advanced,14,Senior,3,100,81,30,9,3.7,1,6.12,6.03,8.9,9.0,5.27,6.4,4.92,6.67,1
Project_24,AI/ML Project,228937,235600,10,11,478,485,Technical Lead,5,High,3,Strong,50,6,Insufficient,9.4,Waterfall,Yes,86,Yes,Formal,High,Yes,Basic,7,Mid,3,89,83,60,6,3.21,0,6.13,6.47,7.33,9.0,7.2,6.54,5.63,6.4,1
Project_25,Web/Mobile App,66811,59095,21,19,180,184,Project Manager,2,Medium,5,Weak,40,4,Insufficient,14.21,Waterfall,Yes,64,Yes,Formal,Low,Yes,Basic,13,Mid,1,88,98,20,3,1.55,1,3.54,5.27,8.3,6.33,6.74,4.57,3.23,5.7,0
Project_26,Data Analytics,120178,136761,21,20,335,329,Technical Lead,5,High,1,Weak,35,10,Adequate,0.98,Agile,Yes,92,Yes,Ad Hoc,Medium,Yes,Intermediate,10,Senior,3,80,87,50,10,1.46,2,5.52,7.64,8.28,10.0,6.22,6.1,3.31,7.08,1
Project_27,AI/ML Project,164027,171361,33,33,462,460,Scrum Master,3,High,6,Weak,40,4,Insufficient,10.6,Agile,Yes,95,Yes,Ad Hoc,High,Yes,Intermediate,7,Senior,0,85,95,20,10,1.85,3,8.25,6.1,7.69,7.67,4.64,7.23,4.44,6.99,1
Project_28,Web/Mobile App,487123,490372,12,14,290,291,Project Manager,2,High,9,Moderate,35,4,Adequate,6.84,Scrum,Yes,96,Yes,Formal,High,Yes,Advanced,11,Senior,0,83,85,30,3,2.01,0,6.2,7.94,8.7,7.67,6.93,7.11,4.09,7.15,1
Project_29,AI/ML Project,494639,487852,16,15,308,295,Scrum Master,3,Medium,1,Strong,50,10,Limited,12.15,Scrum,Yes,67,Yes,Formal,Medium,Yes,Intermediate,5,Junior,3,93,96,60,5,3.74,2,7.19,6.56,8.59,8.0,6.98,7.53,4.0,7.23,1
Project_30,AI/ML Project,292628,283268,24,22,119,143,Technical Lead,3,Medium,2,Weak,35,10,Insufficient,5.23,Scrum,Yes,79,Yes,Ad Hoc,High,Yes,Intermediate,16,Junior,0,89,96,20,4,1.27,3,6.14,6.2,7.49,4.67,6.05,6.14,4.24,6.13,1
Project_31,Embedded System,260533,247341,30,33,159,146,Scrum Master,2,Low,3,Weak,40,10,Adequate,3.18,Kanban,Yes,92,Yes,Formal,Low,Yes,Basic,11,Junior,0,89,97,20,4,2.68,2,4.64,7.06,9.03,5.67,5.61,5.87,4.35,6.27,1
Project_32,Data Analytics,127887,157337,31,34,486,477,Project Manager,3,Low,6,Strong,35,1,Insufficient,10.36,Agile,Yes,97,Yes,Formal,High,Yes,Basic,13,Mid,3,92,86,20,5,3.79,1,3.64,5.55,8.09,8.0,5.47,4.46,6.95,5.12,0
Project_33,Web/Mobile App,243445,225915,31,29,298,317,Scrum Master,1,High,5,Strong,40,4,Adequate,7.77,Waterfall,Yes,85,Yes,Ad Hoc,Medium,Yes,Intermediate,5,Junior,1,91,97,60,7,2.58,3,5.1,7.87,7.56,6.33,6.53,6.47,4.79,6.37,1
Project_34,Web/Mobile App,307311,315587,20,25,164,183,Technical Lead,1,High,8,Moderate,35,6,Limited,7.81,Agile,Yes,64,Yes,Formal,Medium,Yes,Advanced,20,Senior,0,84,81,30,4,4.13,1,5.39,7.58,8.93,6.67,5.83,6.22,7.08,6.09,1
Project_35,AI/ML Project,257476,248590,40,38,161,161,Project Manager,2,Low,5,Moderate,40,7,Insufficient,1.21,Scrum,Yes,73,Yes,Formal,Low,Yes,Intermediate,8,Senior,1,100,93,20,10,1.92,1,6.86,6.63,9.29,8.33,5.48,6.94,1.6,7.66,1
Project_36,Data Analytics,101848,101874,31,33,371,374,Scrum Master,2,Low,7,Strong,40,9,Adequate,8.59,Scrum,Yes,94,Yes,Ad Hoc,Medium,Yes,Advanced,15,Mid,3,97,94,30,8,3.9,2,7.46,7.96,8.68,8.0,5.27,7.42,4.98,7.27,1
Project_37,Business System,109483,127735,12,10,207,211,Scrum Master,5,Medium,2,Moderate,35,8,Adequate,9.16,Waterfall,Yes,81,Yes,Formal,Medium,Yes,Advanced,20,Senior,0,99,87,50,6,3.63,1,4.0,6.92,8.51,6.67,6.68,5.13,5.52,5.76,0
Project_38,AI/ML Project,205826,220311,17,15,329,341,Project Manager,5,Medium,10,Moderate,40,6,Adequate,12.01,Waterfall,Yes,71,Yes,Formal,Low,Yes,Advanced,17,Junior,0,88,99,50,9,3.56,2,4.89,7.71,9.01,4.67,5.87,5.4,5.78,5.9,0
Project_39,Embedded System,357801,354015,23,23,454,434,Project Manager,3,Low,7,Strong,35,8,Adequate,12.63,Waterfall,Yes,67,Yes,Ad Hoc,Low,Yes,Intermediate,9,Junior,3,83,84,30,10,0.82,0,9.15,7.38,7.96,8.0,6.41,8.44,2.12,8.16,1
Project_40,Business System,194202,216693,9,8,356,359,Technical Lead,2,Low,6,Strong,40,1,Insufficient,2.73,Kanban,Yes,92,Yes,Ad Hoc,Medium,Yes,Intermediate,19,Senior,1,86,81,50,3,3.72,3,3.4,6.23,8.03,7.33,6.2,4.84,4.93,5.61,0
Project_41,Data Analytics,421225,422501,17,20,105,117,Project Manager,4,High,8,Strong,35,9,Limited,0.52,Waterfall,Yes,84,Yes,Ad Hoc,Medium,Yes,Basic,17,Senior,0,87,83,50,9,4.15,3,6.71,8.96,7.3,6.67,5.25,6.7,6.14,6.56,1
Project_42,Business System,185419,172872,19,17,488,515,Scrum Master,2,High,8,Strong,40,4,Limited,11.45,Waterfall,Yes,78,Yes,Ad Hoc,High,Yes,Intermediate,11,Senior,0,99,96,60,6,3.67,0,4.37,7.61,6.85,7.67,7.58,5.99,4.26,6.24,1
Project_43,Business System,426079,406693,13,12,351,374,Technical Lead,2,High,6,Strong,35,8,Adequate,8.83,Agile,Yes,100,Yes,Formal,Low,Yes,Basic,9,Mid,0,93,99,20,3,1.0,3,5.73,8.37,9.38,6.67,6.48,6.44,4.12,6.97,1
Project_44,Web/Mobile App,299739,324266,32,37,485,487,Technical Lead,4,Low,6,Moderate,35,8,Limited,9.93,Waterfall,Yes,84,Yes,Ad Hoc,High,Yes,Intermediate,11,Mid,2,85,87,50,7,2.69,3,4.35,6.58,6.92,8.33,5.79,5.15,7.25,5.35,0
Project_45,Embedded System,211730,192868,33,31,483,472,Project Manager,1,Low,9,Weak,50,6,Limited,5.28,Agile,Yes,73,Yes,Formal,Low,Yes,Intermediate,18,Mid,2,95,81,20,8,2.43,0,4.64,6.34,9.29,7.33,5.58,5.61,2.23,6.73,1
Project_46,Web/Mobile App,235967,233428,19,17,111,139,Project Manager,5,High,9,Weak,50,2,Insufficient,4.64,Kanban,Yes,88,Yes,Ad Hoc,Medium,Yes,Basic,9,Senior,0,81,94,20,3,4.22,0,6.68,6.24,7.72,7.67,6.08,6.69,4.11,6.71,1
Project_47,Data Analytics,368332,394161,16,20,147,153,Scrum Master,3,Medium,9,Strong,50,10,Insufficient,13.74,Waterfall,Yes,80,Yes,Formal,Low,Yes,Basic,14,Junior,3,88,88,20,9,2.86,3,4.5,7.16,8.5,7.0,4.18,4.53,7.77,5.3,0
Project_48,AI/ML Project,384223,374104,19,19,426,409,Scrum Master,2,Low,2,Strong,35,3,Adequate,0.77,Scrum,Yes,76,Yes,Ad Hoc,Low,Yes,Intermediate,18,Senior,2,97,86,30,7,3.28,0,8.49,6.8,8.7,8.33,5.97,8.51,1.79,8.2,1
Project_49,Data Analytics,464642,489471,40,41,313,319,Project Manager,3,Low,1,Weak,40,7,Adequate,7.41,Waterfall,Yes,88,Yes,Formal,High,Yes,Intermediate,11,Junior,2,100,89,30,2,4.9,3,7.25,6.04,7.6,7.33,5.9,7.52,5.53,6.64,1
Project_50,Web/Mobile App,327092,337928,37,40,134,133,Scrum Master,3,High,9,Weak,40,2,Insufficient,8.04,Kanban,Yes,77,Yes,Ad Hoc,Low,Yes,Basic,7,Senior,3,100,98,20,9,4.46,0,6.15,6.43,8.21,10.0,5.47,6.34,4.91,6.72,1
Project_51,AI/ML Project,339564,334596,9,10,168,158,Technical Lead,1,High,7,Weak,50,7,Limited,12.12,Scrum,Yes,83,Yes,Ad Hoc,High,Yes,Basic,16,Mid,0,97,98,30,4,0.69,0,5.58,6.56,7.29,5.67,7.95,6.49,3.72,6.36,1
Project_52,AI/ML Project,389577,408019,30,29,259,253,Project Manager,1,High,3,Strong,40,8,Insufficient,11.42,Waterfall,Yes,69,Yes,Ad Hoc,Medium,Yes,Basic,14,Senior,2,93,90,20,3,1.29,2,6.71,7.04,7.11,8.33,6.5,6.77,3.84,6.89,1
Project_53,Embedded System,195419,175460,16,18,232,251,Technical Lead,5,Medium,2,Strong,40,9,Insufficient,1.77,Agile,Yes,88,Yes,Formal,Low,Yes,Advanced,9,Mid,2,88,91,60,6,4.31,3,4.0,7.3,9.85,8.33,6.32,5.05,5.99,6.07,1
Project_54,Business System,281318,268219,37,37,208,231,Scrum Master,4,Medium,3,Weak,40,9,Adequate,3.81,Scrum,Yes,95,Yes,Formal,High,Yes,Advanced,11,Junior,2,96,95,50,3,0.7,3,8.4,7.3,8.69,7.33,7.88,8.45,3.69,7.77,1
Project_55,Business System,347317,359480,12,16,177,162,Project Manager,1,Medium,5,Strong,50,2,Adequate,2.82,Agile,Yes,97,Yes,Ad Hoc,Medium,Yes,Advanced,19,Senior,3,96,83,50,3,3.69,3,4.9,7.08,8.71,9.0,6.4,6.33,5.39,6.51,1
Project_56,Web/Mobile App,117259,103014,9,7,279,281,Project Manager,3,Low,3,Strong,50,8,Insufficient,10.99,Waterfall,Yes,67,Yes,Ad Hoc,Medium,Yes,Basic,17,Junior,2,95,91,50,2,2.56,1,3.6,5.79,7.09,6.33,7.6,4.98,3.54,5.64,0
Project_57,Business System,203670,224009,10,14,461,470,Scrum Master,5,Medium,4,Weak,35,4,Insufficient,13.14,Kanban,Yes,92,Yes,Formal,Low,Yes,Advanced,6,Mid,2,99,86,20,4,1.01,2,4.0,5.06,9.65,8.33,6.52,4.5,6.55,5.45,0
Project_58,Data Analytics,249056,243387,33,34,472,475,Technical Lead,3,Medium,5,Weak,50,9,Insufficient,0.66,Kanban,Yes,91,Yes,Ad Hoc,Low,Yes,Intermediate,5,Senior,3,81,86,20,8,4.93,3,8.01,6.52,8.64,10.0,4.12,7.36,3.39,7.64,1
Project_59,Embedded System,104689,87227,18,22,398,424,Technical Lead,4,High,3,Strong,50,9,Insufficient,12.29,Scrum,Yes,88,Yes,Ad Hoc,High,Yes,Intermediate,5,Junior,3,93,97,50,5,1.22,3,3.8,6.69,7.6,8.0,7.24,4.77,6.1,5.49,0
Project_60,Data Analytics,224329,233936,28,33,142,123,Technical Lead,4,Low,3,Moderate,35,5,Adequate,10.26,Agile,Yes,96,Yes,Formal,Low,Yes,Advanced,8,Junior,1,90,82,20,4,4.22,1,5.11,6.12,9.95,6.33,5.53,5.78,6.05,6.04,1
Project_61,Business System,251859,276322,34,34,342,348,Project Manager,4,High,10,Weak,50,5,Adequate,14.04,Kanban,Yes,92,Yes,Ad Hoc,High,Yes,Basic,13,Senior,3,90,83,20,7,1.78,1,6.89,7.0,7.15,9.0,5.73,6.57,4.9,6.72,1
Project_62,Business System,110265,136558,20,22,239,257,Project Manager,1,Low,4,Weak,35,8,Insufficient,14.68,Scrum,Yes,62,Yes,Formal,Low,Yes,Basic,3,Junior,3,80,81,20,6,2.56,1,3.2,5.09,8.9,6.0,5.26,4.04,8.01,4.59,0
Project_63,Embedded System,447247,475829,8,13,447,429,Project Manager,5,Low,10,Moderate,40,7,Limited,8.78,Scrum,Yes,94,Yes,Formal,High,Yes,Advanced,13,Mid,2,90,93,20,9,0.61,2,4.96,7.23,8.68,7.33,5.88,4.99,5.2,6.07,1
Project_64,Embedded System,381718,407425,19,18,190,202,Scrum Master,3,Low,3,Strong,35,6,Insufficient,7.19,Waterfall,Yes,85,Yes,Ad Hoc,Medium,Yes,Advanced,4,Junior,3,90,93,30,6,1.51,2,6.0,6.06,7.94,6.0,6.3,5.96,4.88,6.11,1
Project_65,Data Analytics,163336,145783,9,14,174,154,Project Manager,2,Low,2,Strong,50,8,Limited,8.33,Scrum,Yes,63,Yes,Formal,Low,Yes,Intermediate,20,Junior,3,90,87,50,7,2.65,3,3.06,6.26,9.16,7.0,5.9,4.47,5.53,5.48,0
Project_66,Data Analytics,449664,445843,24,22,187,179,Project Manager,4,Medium,8,Weak,40,2,Adequate,0.07,Waterfall,Yes,80,Yes,Formal,Medium,Yes,Intermediate,19,Mid,0,80,86,50,2,3.96,3,6.92,7.28,8.12,5.67,6.35,7.33,2.68,7.21,1
Project_67,Business System,373432,377894,22,21,435,464,Project Manager,1,Low,2,Moderate,40,7,Limited,8.92,Scrum,Yes,83,Yes,Formal,Medium,Yes,Basic,8,Junior,1,86,85,60,8,1.34,1,7.48,6.08,8.54,6.33,7.44,7.93,3.87,7.16,1
Project_68,Web/Mobile App,160527,145238,18,19,152,174,Scrum Master,1,Medium,2,Weak,50,1,Insufficient,1.91,Waterfall,Yes,77,Yes,Formal,Medium,Yes,Basic,18,Senior,1,84,92,60,7,2.53,1,4.68,4.86,7.84,7.33,7.03,6.02,4.65,5.92,0
Project_69,Business System,342696,348107,25,27,192,182,Technical Lead,1,Low,8,Weak,50,8,Adequate,7.91,Agile,Yes,69,Yes,Ad Hoc,High,Yes,Basic,3,Mid,3,100,94,50,5,3.66,2,6.17,6.72,7.11,7.0,6.65,6.98,5.25,6.4,1
Project_70,AI/ML Project,451411,434888,26,25,240,242,Technical Lead,4,High,6,Moderate,40,5,Adequate,1.92,Waterfall,Yes,84,Yes,Formal,High,Yes,Basic,8,Junior,0,81,85,30,7,1.61,2,7.55,8.15,7.3,5.67,5.79,7.46,2.02,7.48,1
Project_71,Embedded System,75570,89813,15,19,170,161,Scrum Master,3,Low,8,Strong,40,2,Insufficient,2.79,Agile,Yes,75,Yes,Formal,Medium,Yes,Advanced,14,Junior,3,92,84,60,5,1.2,2,3.44,6.66,9.06,7.0,7.77,4.9,5.13,5.77,0
Project_72,Web/Mobile App,338826,354137,36,40,201,184,Technical Lead,4,Low,9,Strong,50,3,Adequate,4.64,Waterfall,Yes,68,Yes,Formal,Low,Yes,Intermediate,9,Senior,3,82,95,60,9,1.52,3,5.19,7.24,8.6,10.0,6.61,6.05,5.04,6.66,1
Project_73,Data Analytics,79631,92798,32,34,268,275,Project Manager,5,High,6,Moderate,50,9,Adequate,1.65,Waterfall,Yes,82,Yes,Ad Hoc,High,Yes,Intermediate,9,Senior,1,97,84,60,9,0.97,1,5.12,8.31,6.9,8.33,7.64,6.16,4.29,6.56,1
Project_74,Web/Mobile App,144512,128508,32,37,491,490,Technical Lead,5,High,2,Weak,50,9,Adequate,5.28,Agile,Yes,62,Yes,Formal,Low,Yes,Advanced,16,Mid,0,96,96,20,9,2.55,3,3.99,7.05,9.53,5.67,4.62,4.52,4.96,5.79,0
Project_75,Data Analytics,392623,389761,19,20,236,230,Technical Lead,2,High,5,Weak,50,3,Limited,0.54,Agile,Yes,94,Yes,Ad Hoc,Medium,Yes,Intermediate,5,Junior,3,80,96,60,2,4.88,1,7.53,6.53,8.3,8.0,7.6,8.37,2.97,7.65,1
Project_76,Business System,90254,89235,36,40,230,242,Project Manager,4,Medium,6,Weak,40,5,Limited,3.91,Waterfall,Yes,90,Yes,Ad Hoc,Medium,Yes,Advanced,12,Junior,1,96,89,20,10,1.91,0,6.46,6.72,8.0,6.33,5.69,6.55,4.25,6.6,1
Project_77,Business System,61744,76471,36,34,260,253,Scrum Master,2,High,2,Moderate,35,9,Adequate,14.99,Kanban,Yes,95,Yes,Ad Hoc,Low,Yes,Intermediate,4,Mid,0,84,80,30,9,1.04,3,4.65,7.07,8.69,4.67,5.41,4.96,4.91,5.79,0
Project_78,Business System,129675,115789,30,29,290,286,Scrum Master,1,Medium,3,Strong,50,1,Insufficient,14.73,Kanban,Yes,94,Yes,Ad Hoc,High,Yes,Advanced,12,Junior,0,95,96,30,9,3.79,0,5.16,4.95,7.8,5.67,5.77,5.87,3.33,6.05,1
Project_79,Embedded System,179192,202170,9,11,424,411,Project Manager,2,Low,9,Strong,50,10,Insufficient,10.18,Agile,Yes,65,Yes,Ad Hoc,Low,Yes,Intermediate,15,Junior,2,96,88,30,3,3.84,3,3.31,6.99,8.56,6.33,5.65,4.43,7.67,5.04,0
Project_80,Data Analytics,58004,62891,13,14,188,173,Scrum Master,2,High,8,Strong,50,6,Insufficient,7.24,Agile,Yes,100,Yes,Ad Hoc,Low,Yes,Basic,11,Junior,1,81,96,60,4,2.9,3,4.33,7.34,8.75,6.33,6.67,5.62,6.5,5.8,0
