Project Title,Project Type,Planned Budget ($),Actual Budget ($),Planned Schedule (Weeks),Actual Schedule (Weeks),Planned Scope (Story Points),Actual Scope (Story Points),Project Manager Title,Project Manager Skill Level,Leadership Support,Team Collaboration Level,Stakeholder Engagement,Work-Life Balance (hrs/week),Psychological Safety Score,Resource Availability,Turnover Rate (%),Development Methodology,DevOps Adoption,Automated Testing Coverage (%),CI/CD Pipeline Usage,Code Review Process,Technical Debt Level,Cloud-Based Development,Security Practices,Team Size,Average Experience Level,Senior to Junior(5),Expected Sprint Completion Rate (%),Task Completion Rate (%),Expected Velocity (Story Points per Sprint),Estimated Cycle Time (Days per Task),Defect Rate (Bugs per KLOC),Number of Dependencies Blocked,Project Info Score,Environment Score,Technical Score,Stability Score,Productivity Score,Resource Utilization Score,Risk Score,Total Score,Project Success
Project_165,AI/ML Project,490446,562259,40,52,470,471,Scrum Master,1,Medium,3,Strong,40,4,Adequate,24.9,Kanban,No,34,Yes,,Medium,Yes,Basic,17,Mid,1,37,62,30,2,5.55,4,3.2,6.29,5.17,6.33,4.07,4.07,8.04,4.24,0
Project_166,Web/Mobile App,397000,478011,28,38,124,114,Project Manager,4,Low,1,Strong,35,1,Adequate,23.47,Waterfall,Yes,72,No,Ad Hoc,High,No,Advanced,5,Mid,1,72,53,20,9,5.13,6,3.56,5.0,4.65,7.33,2.58,3.61,8.33,3.95,0
Project_167,AI/ML Project,393456,451877,20,31,259,265,Scrum Master,5,Low,2,Strong,35,3,Adequate,39.9,Kanban,No,55,No,Formal,High,No,Advanced,7,Senior,1,33,20,50,3,6.26,8,4.0,5.43,4.19,8.33,3.63,4.09,8.72,4.15,0
Project_168,Data Analytics,73094,157879,17,23,469,542,Project Manager,3,Low,2,Weak,40,4,Insufficient,27.86,Waterfall,Yes,94,No,,Low,Yes,Advanced,13,Mid,2,67,71,60,3,3.47,5,3.6,4.0,6.8,7.33,5.47,4.19,10.0,3.94,0
Project_169,Web/Mobile App,83580,145892,38,46,351,421,Technical Lead,3,Low,3,Weak,35,8,Adequate,36.62,Kanban,No,56,Yes,,High,No,Advanced,13,Mid,3,70,31,50,8,2.94,5,3.6,5.43,4.2,8.0,3.63,3.93,9.97,3.77,0
Project_170,Data Analytics,99907,134699,11,25,342,394,Technical Lead,3,Low,1,Moderate,35,2,Adequate,39.91,Scrum,Yes,83,Yes,Ad Hoc,High,Yes,Basic,6,Senior,1,62,23,60,5,7.7,8,3.6,4.71,7.29,8.33,4.25,4.28,10.0,4.24,0
Project_171,Web/Mobile App,67145,127909,22,31,379,385,Scrum Master,1,Medium,5,Moderate,35,3,Limited,29.22,Agile,No,86,Yes,Ad Hoc,Low,No,Basic,4,Mid,1,43,59,50,2,3.45,6,3.2,5.43,6.08,5.33,4.62,3.93,8.6,4.0,0
Project_172,Web/Mobile App,268975,307174,33,44,269,349,Scrum Master,3,High,7,Weak,40,8,Limited,33.31,Agile,No,32,Yes,Ad Hoc,High,No,Advanced,18,Mid,2,43,41,50,3,3.47,3,3.6,6.57,4.78,7.33,4.82,4.14,9.33,4.14,0
Project_173,Embedded System,195278,277537,16,28,171,163,Scrum Master,1,Low,4,Moderate,40,5,Limited,32.82,Agile,No,32,No,,Medium,Yes,Advanced,10,Senior,1,48,53,30,5,3.99,10,3.06,5.29,4.78,8.33,3.27,3.74,8.33,4.07,0
Project_174,Web/Mobile App,65205,156514,12,23,353,327,Technical Lead,5,Medium,4,Moderate,35,6,Adequate,29.99,Scrum,No,70,Yes,,Low,Yes,Basic,13,Junior,2,64,69,60,2,6.86,7,3.78,6.14,6.5,6.33,5.55,4.37,8.33,4.52,0
Project_175,Business System,412192,482823,38,52,456,528,Scrum Master,1,Medium,3,Weak,35,6,Limited,34.67,Scrum,Yes,57,Yes,Formal,High,No,Advanced,17,Junior,1,36,42,60,2,5.41,3,3.2,5.14,6.96,5.33,5.3,4.29,9.33,4.03,0
Project_176,Web/Mobile App,94463,187383,38,52,375,395,Technical Lead,4,High,10,Weak,50,10,Insufficient,23.14,Waterfall,No,79,No,Formal,Low,No,Advanced,10,Mid,0,53,27,30,7,4.59,7,3.8,6.43,5.36,6.67,2.58,3.48,9.22,4.03,0
Project_177,AI/ML Project,466350,559767,21,26,247,283,Technical Lead,3,Medium,6,Weak,35,3,Adequate,16.1,Scrum,Yes,79,Yes,Formal,High,No,Basic,20,Senior,2,55,35,60,8,7.08,8,3.6,5.85,6.61,8.33,3.83,4.1,10.0,4.27,0
Project_178,Web/Mobile App,408274,502682,30,42,193,205,Scrum Master,2,Low,10,Weak,50,2,Limited,31.23,Agile,Yes,42,No,Ad Hoc,High,Yes,Intermediate,17,Senior,3,72,60,50,9,4.69,6,3.4,4.86,5.78,9.0,3.95,3.89,9.37,4.1,0
Project_179,Embedded System,431619,517306,20,27,258,260,Project Manager,5,Low,4,Moderate,35,2,Limited,18.35,Kanban,No,69,No,,Low,Yes,Basic,16,Senior,1,32,20,60,3,5.7,5,4.0,4.83,4.99,7.33,4.03,3.95,8.46,4.1,0
Project_180,Embedded System,278400,376731,32,41,167,234,Scrum Master,3,High,4,Weak,50,5,Adequate,26.34,Scrum,No,53,No,Formal,Medium,No,Advanced,17,Junior,0,67,41,20,10,4.65,9,3.6,5.71,5.04,4.67,2.13,3.49,10.0,3.49,0
Project_181,Data Analytics,432077,513832,9,18,195,160,Technical Lead,5,Low,4,Strong,50,5,Adequate,15.0,Scrum,Yes,83,Yes,,High,Yes,Basic,17,Junior,0,73,26,20,3,3.65,4,3.46,6.07,6.66,4.67,3.48,3.66,8.0,4.21,0
Project_182,Business System,108057,154996,33,45,375,352,Project Manager,1,Medium,2,Moderate,50,10,Adequate,25.88,Kanban,No,35,No,,Medium,Yes,Advanced,19,Mid,0,39,63,30,4,7.1,3,3.02,6.14,4.56,5.67,4.12,3.96,7.67,4.08,0
Project_183,Data Analytics,188137,264705,22,33,186,172,Scrum Master,1,Low,4,Strong,50,5,Limited,36.39,Agile,No,74,No,,Medium,Yes,Intermediate,15,Mid,0,26,67,20,5,7.46,8,2.97,5.29,4.92,5.67,2.72,3.36,8.33,3.72,0
Project_184,AI/ML Project,172142,258948,13,27,225,189,Scrum Master,4,High,3,Strong,35,1,Insufficient,32.04,Agile,Yes,53,No,Ad Hoc,Medium,No,Advanced,7,Senior,2,58,46,50,4,3.54,6,3.32,5.29,5.66,9.33,4.32,3.68,8.33,4.33,0
Project_185,Business System,358573,444168,23,36,479,497,Technical Lead,4,Medium,2,Weak,35,10,Adequate,34.01,Kanban,Yes,62,Yes,Ad Hoc,Medium,Yes,Basic,12,Senior,3,53,45,60,10,2.26,8,3.8,6.0,7.4,10.0,4.05,4.09,8.55,4.89,0
Project_186,Embedded System,357944,450512,13,23,495,454,Technical Lead,2,Medium,1,Strong,40,6,Insufficient,28.98,Agile,Yes,62,Yes,Formal,Medium,Yes,Intermediate,20,Mid,0,31,62,50,6,2.49,9,3.15,5.43,8.53,5.67,4.08,3.52,8.05,4.4,0
Project_187,Data Analytics,130780,223267,21,30,477,452,Technical Lead,2,Low,8,Moderate,50,1,Adequate,15.63,Agile,Yes,62,No,Ad Hoc,Medium,Yes,Intermediate,13,Senior,2,35,26,30,4,4.8,4,3.24,5.6,6.65,8.33,3.1,3.78,8.0,4.5,0
Project_188,Embedded System,193337,248930,31,37,243,307,Project Manager,5,Low,6,Strong,35,5,Adequate,33.85,Agile,No,95,Yes,Formal,Medium,No,Basic,5,Senior,1,21,56,60,8,2.15,3,4.0,6.29,6.19,8.33,4.76,4.29,8.86,4.61,0
Project_189,AI/ML Project,387141,451290,8,14,413,420,Project Manager,2,Medium,2,Weak,35,9,Adequate,15.14,Agile,Yes,52,Yes,,Low,No,Intermediate,11,Junior,2,35,64,60,4,3.2,9,3.4,6.2,6.53,7.33,4.65,4.52,8.62,4.56,0
Project_190,AI/ML Project,241718,340690,11,20,335,287,Scrum Master,3,Medium,10,Strong,50,10,Limited,19.21,Agile,Yes,35,No,,High,No,Basic,19,Senior,2,20,29,50,8,4.2,6,3.17,7.34,3.56,8.33,2.73,3.25,8.33,4.09,0
Project_191,Embedded System,81762,125408,10,23,127,126,Project Manager,1,High,6,Moderate,50,4,Adequate,39.45,Kanban,Yes,57,Yes,Ad Hoc,Low,Yes,Intermediate,18,Junior,2,24,51,20,3,3.82,6,3.18,6.29,8.21,6.33,2.75,3.66,8.33,4.53,0
Project_192,Business System,175976,249985,30,36,138,120,Scrum Master,5,High,7,Weak,40,9,Insufficient,30.49,Waterfall,Yes,68,Yes,Ad Hoc,Medium,No,Basic,17,Senior,1,68,56,60,3,3.01,7,3.61,6.29,5.85,7.33,5.23,3.86,8.33,4.39,0
Project_193,Embedded System,56969,125893,18,30,290,339,Project Manager,3,Low,8,Weak,35,3,Limited,38.68,Agile,Yes,50,Yes,Formal,High,No,Basic,20,Mid,3,30,66,30,3,2.96,9,3.6,5.0,6.25,8.0,3.54,3.76,9.98,3.97,0
Project_194,Embedded System,474222,568324,9,21,479,521,Technical Lead,3,High,4,Weak,35,2,Adequate,19.98,Waterfall,No,61,Yes,,Low,Yes,Basic,6,Mid,1,29,63,60,9,3.07,5,3.6,5.57,5.76,7.33,3.7,4.11,9.79,4.04,0
Project_195,Embedded System,233160,299222,20,30,235,229,Technical Lead,1,Medium,5,Moderate,40,10,Limited,34.29,Agile,No,31,No,,Medium,Yes,Advanced,19,Mid,2,39,79,50,8,7.38,7,3.12,6.57,4.76,7.33,3.88,3.81,8.33,4.19,0
Project_196,Business System,234334,329000,32,37,188,210,Project Manager,2,Low,9,Moderate,40,7,Insufficient,18.6,Scrum,Yes,86,No,Formal,Low,Yes,Basic,9,Junior,2,30,63,50,6,7.72,4,3.4,5.96,7.95,7.33,4.13,3.97,9.67,4.39,0
Project_197,Web/Mobile App,425993,460605,8,17,258,272,Project Manager,3,Medium,4,Weak,50,8,Limited,25.75,Scrum,Yes,76,No,Formal,High,No,Advanced,6,Senior,3,56,70,50,8,4.8,3,4.16,5.29,5.95,10.0,4.68,4.63,8.26,4.82,0
Project_198,Embedded System,398106,477549,30,41,172,233,Project Manager,2,Medium,6,Weak,50,4,Adequate,39.06,Scrum,No,59,Yes,,Low,Yes,Intermediate,13,Mid,2,76,29,60,8,7.74,5,3.4,5.43,6.61,7.33,4.08,4.08,10.0,4.07,0
Project_199,Data Analytics,340945,396072,21,35,401,414,Scrum Master,4,Low,7,Weak,40,7,Adequate,23.01,Scrum,Yes,74,No,Ad Hoc,Medium,No,Advanced,18,Senior,3,23,51,30,10,7.76,9,3.8,6.0,5.92,9.0,1.98,3.45,8.87,4.35,0
Project_200,Data Analytics,366285,448832,31,42,217,194,Technical Lead,1,High,1,Strong,35,5,Adequate,34.84,Kanban,No,38,Yes,,Low,Yes,Intermediate,8,Mid,1,70,50,20,7,6.73,3,2.88,6.43,6.1,7.33,3.5,3.84,7.67,4.47,0
Project_201,Business System,112386,148931,40,53,200,266,Project Manager,3,High,9,Weak,40,8,Adequate,23.6,Agile,Yes,74,No,,High,Yes,Advanced,19,Junior,3,50,60,30,6,7.26,5,3.6,7.29,5.92,7.0,3.25,3.83,10.0,4.18,0
Project_202,AI/ML Project,442951,511528,20,35,475,450,Project Manager,5,Medium,10,Weak,40,4,Insufficient,35.03,Waterfall,No,91,No,,Medium,No,Intermediate,4,Senior,0,78,66,30,3,4.18,8,3.84,5.57,3.26,5.67,4.32,3.59,8.33,3.7,0
Project_203,Embedded System,206886,300510,38,44,192,228,Project Manager,5,Low,4,Moderate,40,1,Insufficient,31.1,Waterfall,No,85,Yes,Formal,High,No,Advanced,6,Junior,2,51,48,20,9,3.18,7,4.0,4.29,5.44,7.33,2.15,3.35,10.0,3.63,0
Project_204,Embedded System,227478,260999,24,33,412,420,Technical Lead,3,Medium,4,Moderate,50,9,Adequate,16.19,Agile,Yes,42,Yes,Formal,Medium,No,Advanced,7,Senior,3,75,53,30,6,2.21,9,3.6,6.56,7.4,10.0,3.99,4.16,8.22,5.03,0
Project_205,Embedded System,121813,171540,17,22,226,219,Project Manager,4,High,7,Strong,40,4,Adequate,35.91,Agile,Yes,71,No,Ad Hoc,Medium,No,Basic,12,Senior,2,79,48,30,5,3.8,8,3.71,7.29,5.26,9.33,3.7,4.05,8.33,4.72,0
Project_206,Embedded System,325908,404437,39,48,376,424,Scrum Master,1,Medium,8,Weak,35,4,Adequate,19.23,Waterfall,Yes,31,No,Formal,Medium,Yes,Intermediate,9,Mid,1,59,26,20,5,6.5,8,3.2,6.05,6.26,7.33,2.58,3.79,10.0,4.01,0
Project_207,Business System,129521,184221,32,45,306,328,Scrum Master,1,Medium,9,Moderate,40,5,Adequate,23.75,Kanban,Yes,87,Yes,Ad Hoc,Medium,No,Advanced,18,Senior,2,34,73,60,6,6.53,3,3.2,6.86,7.09,8.33,5.12,4.38,8.86,4.73,0
Project_208,Embedded System,342481,377995,19,30,440,405,Technical Lead,3,High,8,Moderate,40,7,Insufficient,18.87,Scrum,No,67,No,Ad Hoc,Low,No,Intermediate,10,Senior,2,45,35,20,2,4.51,5,3.36,6.65,4.84,9.33,3.0,3.47,8.33,4.36,0
Project_209,Web/Mobile App,356996,391984,8,15,215,171,Project Manager,3,Low,5,Moderate,40,7,Adequate,39.61,Waterfall,Yes,43,Yes,,Medium,No,Advanced,15,Mid,0,29,76,60,3,3.67,8,3.05,6.14,5.54,5.67,4.92,3.96,8.3,4.11,0
Project_210,Business System,76782,153902,17,23,372,386,Project Manager,1,Medium,3,Moderate,40,2,Limited,20.79,Scrum,Yes,82,Yes,Formal,Low,Yes,Advanced,10,Senior,3,68,43,60,10,6.25,5,3.2,5.14,9.78,10.0,3.85,4.0,8.96,4.93,0
Project_211,Business System,320156,360626,14,24,198,229,Scrum Master,2,Medium,8,Strong,40,2,Limited,31.4,Scrum,Yes,51,Yes,Ad Hoc,Medium,Yes,Basic,7,Senior,1,40,51,20,7,6.28,10,3.4,6.29,7.51,8.33,2.35,3.56,10.0,4.3,0
Project_212,Embedded System,52101,88335,24,33,363,356,Technical Lead,5,Low,2,Weak,50,5,Insufficient,19.6,Agile,No,34,Yes,,Medium,No,Advanced,9,Senior,0,66,30,50,3,5.62,8,3.94,3.74,4.8,7.67,4.35,3.98,8.33,3.97,0
Project_213,Business System,148937,233672,10,21,281,324,Technical Lead,2,High,1,Moderate,40,5,Limited,28.94,Waterfall,No,65,No,,Medium,No,Advanced,19,Mid,1,75,68,60,9,4.62,10,3.4,5.71,3.31,6.33,4.55,4.07,10.0,3.51,0
Project_214,AI/ML Project,386419,463891,13,18,271,258,Technical Lead,3,Low,4,Moderate,50,1,Adequate,16.08,Waterfall,Yes,57,Yes,Formal,High,Yes,Advanced,15,Mid,1,25,41,50,7,6.7,7,3.46,4.99,7.59,6.33,3.18,3.81,8.33,4.33,0
Project_215,AI/ML Project,380758,441679,33,45,239,298,Project Manager,4,Medium,4,Strong,40,8,Insufficient,23.93,Waterfall,Yes,54,No,,Medium,Yes,Advanced,20,Senior,3,26,47,60,4,3.82,8,3.8,6.14,5.67,9.0,4.22,3.81,10.0,4.19,0
Project_216,AI/ML Project,317223,354061,29,39,365,322,Project Manager,4,Medium,4,Strong,35,10,Limited,15.68,Agile,Yes,64,Yes,,Low,Yes,Basic,16,Mid,1,23,20,30,7,7.77,9,3.45,7.02,7.67,6.33,1.97,3.16,8.33,4.48,0
Project_217,Embedded System,175894,237386,18,27,215,178,Technical Lead,3,Medium,2,Weak,50,8,Adequate,20.86,Waterfall,Yes,81,Yes,Ad Hoc,Low,No,Basic,19,Senior,1,49,69,50,10,6.87,9,3.08,5.43,6.64,7.33,3.55,3.57,8.33,4.23,0
Project_218,Embedded System,439846,512623,22,37,183,256,Project Manager,5,Medium,1,Strong,40,4,Limited,22.08,Agile,No,52,Yes,Ad Hoc,Low,No,Intermediate,6,Mid,2,59,57,30,5,2.41,5,4.0,5.57,5.9,8.33,3.85,3.91,9.67,4.2,0
Project_219,Embedded System,445994,524257,30,40,440,513,Project Manager,2,Low,3,Moderate,35,9,Insufficient,25.62,Agile,No,63,No,,High,Yes,Intermediate,15,Mid,2,37,28,30,2,7.47,6,3.4,5.14,4.16,7.33,3.17,3.5,10.0,3.51,0
Project_220,Embedded System,83925,157141,9,23,364,366,Scrum Master,5,High,7,Strong,50,3,Insufficient,22.6,Scrum,No,44,No,,Medium,No,Intermediate,17,Senior,0,65,56,60,10,7.65,4,4.0,5.86,3.3,6.67,4.35,3.85,8.09,3.99,0
Project_221,Data Analytics,55497,113749,13,21,127,108,Project Manager,2,High,5,Weak,35,8,Limited,31.63,Waterfall,No,69,Yes,Formal,Medium,No,Intermediate,13,Junior,0,68,38,50,2,2.8,4,2.95,6.14,5.49,4.67,5.13,3.91,7.89,4.05,0
Project_222,Business System,126015,174706,18,24,136,151,Scrum Master,3,Medium,10,Strong,35,3,Adequate,39.75,Waterfall,Yes,81,No,,High,No,Advanced,5,Senior,3,49,64,60,4,3.0,8,3.6,7.0,4.14,10.0,4.89,4.46,10.0,4.33,0
Project_223,Web/Mobile App,498626,574881,35,42,163,233,Project Manager,1,Medium,6,Moderate,35,7,Limited,32.38,Scrum,No,91,Yes,,Medium,No,Basic,11,Mid,2,31,39,30,10,3.25,8,3.2,6.14,4.89,8.33,1.92,3.42,10.0,3.82,0
Project_224,Business System,215537,257792,15,27,228,230,Technical Lead,1,Medium,2,Moderate,35,1,Limited,27.09,Scrum,No,73,Yes,Ad Hoc,Medium,No,Intermediate,9,Junior,2,46,32,20,4,4.53,6,3.2,4.71,5.54,7.33,2.63,3.64,8.48,3.96,0
Project_225,Business System,318758,412927,23,33,220,255,Project Manager,2,Medium,4,Strong,35,3,Insufficient,28.75,Kanban,Yes,72,Yes,Formal,High,Yes,Advanced,17,Junior,3,50,60,30,8,6.63,9,3.4,5.29,8.15,7.0,2.92,3.42,10.0,4.08,0
Project_226,Web/Mobile App,101850,170182,16,25,233,311,Project Manager,2,High,2,Weak,50,7,Adequate,21.15,Kanban,Yes,72,Yes,,Low,No,Basic,11,Senior,2,37,26,50,6,4.62,4,3.4,5.71,6.28,9.33,3.63,4.09,9.67,4.33,0
Project_227,Data Analytics,422419,476195,36,42,205,160,Project Manager,2,High,3,Moderate,40,9,Adequate,25.83,Scrum,Yes,59,Yes,Ad Hoc,Medium,No,Basic,6,Junior,1,69,75,50,9,4.8,10,2.74,7.0,6.36,6.33,4.15,3.81,8.33,4.33,0
Project_228,Embedded System,327412,396988,8,17,215,289,Technical Lead,2,High,8,Moderate,35,9,Limited,35.57,Scrum,Yes,53,Yes,Formal,Medium,Yes,Intermediate,11,Senior,0,65,26,20,2,7.6,7,3.4,7.14,8.41,7.67,3.18,3.81,10.0,4.56,0
Project_229,Web/Mobile App,350984,437056,17,25,203,155,Technical Lead,3,Medium,2,Strong,50,6,Adequate,38.35,Kanban,No,69,No,Ad Hoc,Medium,No,Basic,13,Senior,2,22,55,30,9,4.72,7,2.89,6.0,3.74,8.33,2.2,3.04,8.33,3.82,0
Project_230,AI/ML Project,353825,399185,39,53,474,494,Project Manager,2,Low,5,Strong,35,7,Limited,18.79,Agile,No,34,Yes,Formal,High,Yes,Intermediate,13,Senior,1,52,21,60,4,5.25,7,3.4,6.09,6.3,7.33,4.22,4.0,9.04,4.29,0
Project_231,Data Analytics,216284,284424,10,16,438,468,Scrum Master,5,High,6,Strong,40,6,Limited,37.98,Waterfall,Yes,55,No,Formal,Medium,Yes,Intermediate,6,Junior,1,35,26,60,6,2.96,3,4.0,7.0,6.56,6.33,4.37,4.16,8.78,4.55,0
Project_232,Web/Mobile App,188979,277035,14,22,360,328,Scrum Master,4,Low,7,Strong,50,7,Limited,16.39,Kanban,Yes,43,Yes,Ad Hoc,Low,No,Advanced,20,Senior,0,60,66,20,8,4.81,3,3.53,6.26,7.16,6.67,3.43,3.64,7.67,4.59,0
Project_233,Web/Mobile App,275225,323428,11,24,392,389,Technical Lead,2,Low,1,Weak,50,8,Limited,26.94,Waterfall,Yes,42,Yes,,Low,Yes,Basic,7,Junior,1,52,55,20,3,6.75,7,3.38,4.43,6.78,6.33,3.28,3.82,8.33,4.11,0
Project_234,Web/Mobile App,403456,438458,28,40,294,356,Project Manager,3,Medium,5,Strong,50,4,Insufficient,19.59,Kanban,No,73,No,Ad Hoc,High,No,Intermediate,4,Junior,3,80,31,50,4,6.55,5,4.0,5.31,3.41,6.0,4.43,4.01,9.78,3.55,0
Project_235,Data Analytics,106960,153680,20,26,381,454,Technical Lead,4,Low,4,Moderate,40,3,Limited,33.88,Kanban,No,86,No,Formal,Low,Yes,Basic,8,Junior,3,31,64,20,3,5.43,6,3.8,5.0,6.45,8.0,3.08,3.78,10.0,4.03,0
Project_236,Business System,66087,111709,23,34,151,135,Project Manager,2,Medium,5,Strong,35,7,Insufficient,17.45,Waterfall,Yes,56,Yes,,Low,No,Basic,20,Mid,1,57,22,50,4,4.78,9,3.08,6.18,5.7,6.33,3.9,3.57,8.33,4.1,0
Project_237,Web/Mobile App,402094,464385,18,32,154,129,Project Manager,4,Medium,7,Moderate,50,3,Adequate,23.65,Agile,No,83,No,Formal,Medium,Yes,Intermediate,15,Senior,2,41,49,20,5,3.41,3,3.31,5.86,6.29,8.33,3.33,3.53,7.67,4.5,0
Project_238,Web/Mobile App,284747,330241,40,54,439,456,Project Manager,3,High,4,Weak,50,6,Adequate,18.43,Agile,Yes,85,No,,Medium,Yes,Intermediate,4,Senior,0,62,64,50,9,2.06,10,3.6,5.97,6.31,5.67,4.37,3.89,8.46,4.23,0
Project_239,AI/ML Project,308804,382129,30,39,173,147,Scrum Master,4,Low,8,Strong,40,3,Limited,27.57,Agile,Yes,80,No,Ad Hoc,Low,Yes,Advanced,20,Junior,1,66,54,60,9,5.87,9,3.35,6.0,7.88,5.33,4.17,3.65,8.33,4.36,0
Project_240,Web/Mobile App,68181,137535,24,30,422,398,Scrum Master,5,Low,6,Strong,40,2,Insufficient,37.38,Agile,Yes,34,No,,Low,No,Advanced,15,Mid,2,38,60,20,2,5.11,4,3.83,5.14,5.42,7.33,3.63,3.53,8.0,4.17,0
Project_241,Embedded System,265768,317534,22,32,408,359,Technical Lead,5,Low,5,Moderate,50,6,Insufficient,18.79,Waterfall,Yes,47,No,,Medium,No,Basic,13,Senior,3,54,44,50,3,3.15,6,3.64,4.8,3.71,9.0,4.38,3.66,8.33,3.97,0
Project_242,Web/Mobile App,461809,513503,39,51,161,146,Project Manager,1,High,10,Strong,50,8,Adequate,25.64,Agile,Yes,31,Yes,Formal,High,No,Basic,10,Senior,0,68,45,60,5,6.98,3,2.92,7.86,6.01,7.67,5.38,4.43,7.67,4.86,0
Project_243,Data Analytics,285815,347718,40,53,121,142,Project Manager,4,High,4,Strong,50,1,Insufficient,23.39,Kanban,Yes,36,Yes,Formal,High,Yes,Intermediate,8,Mid,3,34,75,60,5,5.74,3,3.8,5.14,7.33,9.0,5.32,4.29,9.33,4.55,0
Project_244,Business System,410486,466581,20,34,115,91,Scrum Master,5,Medium,5,Weak,40,3,Insufficient,23.28,Waterfall,Yes,38,Yes,Ad Hoc,High,No,Basic,4,Senior,1,40,49,50,2,4.79,5,3.37,4.71,4.85,6.33,4.4,3.3,8.33,3.73,0
Project_245,Business System,294840,392727,27,32,463,540,Technical Lead,5,High,3,Moderate,50,4,Insufficient,23.95,Agile,No,77,Yes,,Medium,Yes,Intermediate,11,Senior,2,20,77,50,5,5.4,8,4.0,5.0,6.21,9.33,4.03,3.91,10.0,4.19,0
Project_246,Business System,85927,133052,28,33,445,525,Scrum Master,1,Medium,10,Strong,40,9,Insufficient,29.91,Waterfall,Yes,95,No,,High,No,Basic,19,Senior,3,49,64,30,6,4.22,10,3.2,7.14,3.69,9.0,3.3,3.54,10.0,3.89,0
Project_247,Embedded System,160070,227785,40,47,105,130,Technical Lead,2,Low,5,Weak,50,3,Adequate,37.04,Kanban,Yes,45,Yes,,High,No,Basic,7,Mid,0,46,33,20,6,4.6,4,3.4,4.71,4.69,6.67,2.65,3.79,9.67,3.6,0
Project_248,Embedded System,413359,456079,34,41,297,347,Scrum Master,4,Medium,9,Moderate,50,3,Adequate,16.1,Agile,Yes,44,No,,Low,Yes,Intermediate,9,Junior,2,55,56,50,4,3.39,7,3.8,6.42,6.42,7.33,4.43,4.43,10.0,4.34,0
Project_249,AI/ML Project,408953,485711,39,44,454,473,Scrum Master,5,High,5,Moderate,40,5,Limited,33.34,Scrum,No,83,Yes,Formal,Low,Yes,Advanced,10,Senior,2,62,51,30,10,3.91,10,4.0,6.29,8.54,9.33,2.63,3.64,9.03,4.86,0
Project_250,Data Analytics,242084,303310,8,14,276,282,Technical Lead,4,Low,4,Weak,50,10,Limited,16.86,Kanban,Yes,36,Yes,Formal,High,No,Intermediate,6,Mid,0,31,78,30,3,5.9,4,3.8,5.37,6.08,6.67,4.07,4.15,8.36,4.32,0
